date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:26	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Nov%202021%2010:16:25%20GMT	http://azim.commonsupport.com/robots.txt		(from )
15:46:26	77380/77380	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2020:08:20%20GMT	http://azim.commonsupport.com/Fionca/	azim.commonsupport.com/Fionca/index.html	(from )
15:46:27	15086/15086	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2005%20Mar%202020%2013:21:06%20GMT	http://azim.commonsupport.com/Fionca/assets/images/favicon.ico	azim.commonsupport.com/Fionca/assets/images/favicon.ico	(from http://azim.commonsupport.com/Fionca/)
15:46:28	63102/63102	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Jan%202019%2017:11:34%20GMT	http://azim.commonsupport.com/Fionca/assets/css/font-awesome-all.css	azim.commonsupport.com/Fionca/assets/css/font-awesome-all.css	(from http://azim.commonsupport.com/Fionca/)
15:46:29	5164/5164	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Mar%202020%2002:28:18%20GMT	http://azim.commonsupport.com/Fionca/assets/css/flaticon.css	azim.commonsupport.com/Fionca/assets/css/flaticon.css	(from http://azim.commonsupport.com/Fionca/)
15:46:30	5687/5687	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202019%2000:49:16%20GMT	http://azim.commonsupport.com/Fionca/assets/css/owl.css	azim.commonsupport.com/Fionca/assets/css/owl.css	(from http://azim.commonsupport.com/Fionca/)
15:46:31	197170/197170	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Nov%202019%2015:31:20%20GMT	http://azim.commonsupport.com/Fionca/assets/css/bootstrap.css	azim.commonsupport.com/Fionca/assets/css/bootstrap.css	(from http://azim.commonsupport.com/Fionca/)
15:46:33	13735/13735	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Nov%202018%2015:52:20%20GMT	http://azim.commonsupport.com/Fionca/assets/css/jquery.fancybox.min.css	azim.commonsupport.com/Fionca/assets/css/jquery.fancybox.min.css	(from http://azim.commonsupport.com/Fionca/)
15:46:33	86593/86593	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Feb%202020%2019:43:04%20GMT	http://azim.commonsupport.com/Fionca/assets/css/animate.css	azim.commonsupport.com/Fionca/assets/css/animate.css	(from http://azim.commonsupport.com/Fionca/)
15:46:34	37379/37379	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Apr%202020%2012:39:24%20GMT	http://azim.commonsupport.com/Fionca/assets/css/color.css	azim.commonsupport.com/Fionca/assets/css/color.css	(from http://azim.commonsupport.com/Fionca/)
15:46:35	34530/34530	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Apr%202020%2012:49:08%20GMT	http://azim.commonsupport.com/Fionca/assets/css/rtl.css	azim.commonsupport.com/Fionca/assets/css/rtl.css	(from http://azim.commonsupport.com/Fionca/)
15:46:36	269970/269970	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Apr%202020%2012:42:00%20GMT	http://azim.commonsupport.com/Fionca/assets/css/style.css	azim.commonsupport.com/Fionca/assets/css/style.css	(from http://azim.commonsupport.com/Fionca/)
15:46:38	27280/27280	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Apr%202020%2012:50:00%20GMT	http://azim.commonsupport.com/Fionca/assets/css/responsive.css	azim.commonsupport.com/Fionca/assets/css/responsive.css	(from http://azim.commonsupport.com/Fionca/)
15:46:38	77380/77380	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2020:08:20%20GMT	http://azim.commonsupport.com/Fionca/index.html	azim.commonsupport.com/Fionca/index-2.html	(from http://azim.commonsupport.com/Fionca/)
15:46:39	3485/3485	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202020%2002:17:42%20GMT	http://azim.commonsupport.com/Fionca/assets/images/logo.png	azim.commonsupport.com/Fionca/assets/images/logo.png	(from http://azim.commonsupport.com/Fionca/)
